Tag,Description,ID,Type
Abstract,"Abstract works are generally intellectual in nature and rooted in imagination or philosophy, portraying a unique message or theme. As such, they don't necessarily focus on traditional narration, characterization, or development, presenting unique, unconventional or vivid visual styles instead.",WFAyoEYjaTNp015jq1w-d,theme
Acting,"These manga feature characters who love to act. The protagonists may be amateur or famous actors in TV, film or other media; performers in a travelling drama troupe; or students who love to perform in their school's drama club.",uIrNbPqVCXmOqWwbuOoX5,theme
Action,"Action is about conflict. Whether with guns, blades, fists, or mysterious powers, these manga feature characters in combat - either to protect themselves or the things or people they value, or simply as a way of life.",mY-Rn3R6X09oEa3mgRBd7,theme
Adapted to Anime,These manga or light novels were directly adapted to an anime.,Xmqcq3Ydy8b1jp8ujJbVe,theme
Adult Couples,These manga feature romantic or sexual relationships between two adults.,kRcHsa_5h0K_9C-vzcOrq,theme
Adventure,"In these manga, characters embark on a journey to explore the world or to search for something. These wanderers travel to many places and meet new people, often encountering hardships along the way, or discovering strengths and weaknesses about themselves that are revealed throughout the adventure.",KYsWQRUoZZbD8LWulIwpr,theme
Africa,These manga predominantly or fully take place in Africa.,6qiS2Tp3XPkeWSW9IYFlT,theme
Afterlife,"These manga focus on the afterlife. The manga might take place in Heaven or Hell, focus on purgatory and the judging of souls, or other topics that cover life after death.",FU_mBv04f9gUVCc4PwGVF,theme
Age Gap,"These manga showcase a relationship where the characters are in two different age groups, based on societal norms. While not always the case, these characters sometimes must overcome challenges or societal stigma associated with the Age Gap.",RUFd2D5n0xJsTd5xbXjZh,theme
Age Transformation,"Characters in these manga experience transformations that alter their age, be they through magical or other means.",_SUt4Ur5reSDG-_GDsLsD,theme
Aging,"These manga address issues that middle-aged and elderly people face. Common themes include dealing with declining health, losing a life-long spouse, or having a mid-life crisis. More upbeat topics can include enjoying retirement, learning to adjust to modern times, or becoming a parent later in life.",lvaAJrCRNVEq_aVOAb0Lt,theme
Agriculture,"These manga explore the occupations, issues and lifestyles related to agriculture and farming. They frequently take place on a farm or in the countryside, and follow protagonists that learn or practice skills such as tilling the earth or taking care of barnyard animals.",lTjejqLkoaHjSNFXo779b,theme
Alcohol,"Alcohol is the subject of these manga. The story might take place in a Bar, where beer, wine, or spirits are served to patrons. Characters in these manga might run a brewery, or are sommeliers, alcoholics, or simply enjoy the experience of drinking alcohol. These manga may offer step-by-step Recipes for how to make cocktails or alcoholic beverages.",fSv5--6EsbRfqrFyLXt0P,theme
Alice in Wonderland,"These manga are heavily or loosely influenced by Lewis Carroll's 1865 publication Alice's Adventures in Wonderland, or its sequel Through the Looking-Glass. They range between true adaptations, alternate versions, parodies, or stories that take place in a new setting that heavily mimics or alludes to Alice's journey.",RZF2fBMK1E9l-_aSdGY_w,theme
Aliens,"The universe is vast, and it's easy to imagine that there might be non-human life on distant worlds. Whether physically similar to mankind or vastly different, these works feature beings born on other worlds. Manga that take place on Earth might encounter unexpected visitors with unknown intentions; or on the homeworld of another culture, human beings are the Aliens.",g2AnfCW1b_HYRSDs3V4tP,theme
All-Boys School,Characters in these manga attend an all-boys school.,l8upn1RT0tU4M7x1bQpra,theme
All-Girls School,Characters in these manga attend an all-girls school.,nHv9pA4Xo1geNdFIdYG47,theme
Alligators and Crocodiles,These manga feature alligators or crocodiles: Long-bodied Reptiles found in a variety of habitats.,1_EexMtfZwmzeFvQwClzE,theme
America,These manga predominantly or fully take place in the United States of America.,XImFo1QJ02pYJQ8b5gR6x,theme
Amnesia,"Characters with amnesia have partial or full memory loss. These manga feature characters that suffer from amnesia due to an injury or trauma, an Illness, or a Supernatural occurrence.",PN6TMxxZCTIxHmoY5JaWL,theme
Amusement Park,"These manga take place in an amusement park, whether it's functioning or abandoned.",vzYszmUxjLiTZlF729PC5,theme
Ancient China,"These manga take place in China during ancient or imperial times, or are set in a world similar to ancient China. Some works may be influenced or inspired by famous Chinese novels such as \\""Romance of the Three Kingdoms\\"" or \\""Journey to the West\\"", Chinese mythology, or historical figures from Chinese history. Common themes involve the happenings within the imperial court, waging war and forging political alliances, dynastic politics, and palace intrigue. Ancient China is a common setting for Wuxia titles.",kWwQHOZLMdFSI_s9_cJUb,theme
Androids,"Androids are artificially-created beings that are made to look and act like humans - in advanced cases, they are indistinguishable. As machines, they are often shown as possessing stronger logic and reasoning than real humans; however, this logic can also limit them, as they can have difficulty processing emotional concepts or social relationships. These manga feature Androids in starring roles, either as main characters or as important elements of the plot or setting.",qXkwgtHHgWiTd0v6rcy2U,theme
Androphobia,"Androphobia is defined as an irrational fear of men. In these manga, characters with the disorder have extreme reactions to the men in their lives, from panicking to having an intense allergic reaction to anything in between.",D-v_jL3mJxQE-1CUPJoaz,theme
Angels,"Winged, haloed angels from heaven are the focus of these manga.",WtmSE7HEO57X3R6Bf7xJ7,theme
Animal Characteristics,"These manga feature human-like beings that possess animal characteristics, such as animal ears, tails, or other body parts not normally found on people. Catgirls are a common example.",WQqGT8eXIfDgDU-tzDBCD,theme
Animal Protagonists,"These manga feature animal protagonists, be they household pets, dinosaurs or other real-world animals. The characters can appear in normal, anthropomorphic or occasionally fantastical forms, for example, the animals in Dogtato-kun are food-based representations of normal animals. Mythical creatures such as unicorns or centaurs are not included in this categorization.",MX2-cM0DusjmglRYYFBko,theme
Animal Transformation,"These manga feature humans that transform into animals, or animals that transform into humans. They might use magic to alter their form, change against their will due to a Curse, or naturally have the ability to shape-shift. Werewolves are a common example of natural lycanthropes.",a_lmT2aRXvTykSMPWR8-m,theme
Anime Industry,"These manga explore anime from the industry or consumer side. Common themes include the creative and design process, sound design or voice acting, editing or meeting deadlines, distribution and marketing, or the culture of anime consumption.",-AOHRTMt8fSI-s8X40i0C,theme
Antarctica,These manga predominantly or fully take place in Antarctica.,Vsi8RAE3lT-2qjry9RNkv,theme
Anteaters,These manga feature anteaters: mammals native to Central America and South America known for eating ants and termites.,mIajyrsrOvnIQLNyAlFS6,theme
Anthologies,"Anthologies are a compilation of One Shot manga from multiple authors or artists, unlike Collections, which are a compilation of One Shots from a single author.",oGSTigMwOd5SpT__RpTjU,theme
Anthropomorphic,"Anthropomorphism describes attributing human characteristics to inanimate objects, animals, plants, or other natural phenomena. Characters in these manga may walk on two legs, wear clothes, or have a human appearance. Common examples in anime and manga include anthropomorphic animals, food, or objects. Not to be confused with Animal Characteristics, which describes characters that have animal-like features, such as a human with a tail.",y4fDEATi9YnsfjMUC99vj,theme
Antique Shop,These manga predominantly take place in an antique shop or curiosity shop where old and often valuable items are sold. The location might be a Mysterious Shop where the items come with a high cost or come with unintended consequences.,Z7H4TUzLd0hi6oZ1q_7oc,theme
Ants,These manga feature ants: tiny Insects with hard exoskeletons that live in colonies. Ants can be found on every continent of the world except Antarctica.,tjUl4eSXbAtO2AyThnlTx,theme
Apartment Life,"These manga focus on life in an apartment complex or Boarding House. Typical themes include interactions between Neighbors, landlords or their management of the apartments and tenants, or moving in or out of the complex.",l5LIqEj_Fo6Ed_CMcJ-rh,theme
Apes,"These manga feature apes. These primates include gorillas, chimpanzees, orangutans, and gibbons. Unlike Monkeys, apes do not have tails.",GpJO16_X0JrQO-t7POfCf,theme
Apocalypse,"In these manga, an apocalypse has just occurred, threatening the world with extinction. Mankind might be under attack from Zombies, Insects, or Monsters. Or, the apocalypse may have been triggered by a Pandemic, a Natural Disaster, or another cause. Unlike Post-apocalyptic manga where society struggles to rebuild, characters in these manga focus on Survival, or on understanding and containing the disaster. ",htwyiw1e_F7lzPq96Iiw3,theme
Apprenticeship,"Characters in these manga serve an apprenticeship for the purpose of learning an art or trade. They may be serving under an experienced master of the craft, or they may be required to work and study on their own for a time to build experience.",B2_cBO5TOV5miGZTHvw1w,theme
Aquarium,These manga predominantly take place in an aquarium.,QAnq8HV4jCcLhRIz3MK6v,theme
Archery,"Archery is the focus of these manga. Training and competing in tournaments or championships are common themes in sports titles, as well as individual or team spirit, or being an underdog who goes against the odds to succeed.",szb9inEYaURkRtV74owV3,theme
Argentina,These manga predominantly or fully take place in Argentina.,36qv1D-cIJq0R17CQwRBg,theme
Armadillos,"These manga feature armadillos: mammals known for their leathery armor-like shells and the long, sharp claws they use for digging.",tq1dRPqNRjvbdyU6Chd96,theme
Arranged Marriage,"An Arranged Marriage is a type of marital union where a third party selects the bride and the groom, rather than the two future newlyweds selecting each other for love or other reasons. Characters in these manga face, or are in, an arranged marriage.",TB8_zYCPKPE44ExAkq0OU,theme
Art,"These manga showcase characters who study and practice art, such as painting, sculpture, or architecture. They may be a student in a formal school setting, or are studying under a more experienced mentor, or are a professional earning their living through an artistic craft.",308z0NMtPeizkarJ85enG,theme
Art School,"Characters in these manga attend an Art School where they study or practice painting, sculpture, architecture, or another form of art.",gDNssWkmiUnUSZAf_QGTo,theme
Assassins,"Assassins specialize in killing targeted individuals. These manga showcase assassins in training or on the job, whether they're a part of an organized group or work as freelancers.",aN-jlz8bzOm1ms2CyobwJ,theme
Astronauts,"These manga showcase characters that are in training or have been trained by NASA, JAXA or some other space exploration organization to complete tasks outside of the confines of Earth, such as working on space stations or cleaning up debris in orbit. Unlike futuristic civilizations where travelling into the galaxy is commonplace, these manga take place in an era where space travel isn't easily accomplished by the general populace.",0T2EP71rFqko0_LHAT40w,theme
Astronomy,"Characters in these manga love to look up at or study the stars, using a telescope, planetarium, or just their own eyes.",qSs72wnVHVXVMO7zafr-w,theme
Australia,These manga predominantly or fully take place in Australia.,DkhNmuf_qz22RYRMO4jZq,theme
Austria,These manga predominantly or fully take place in Austria.,q-ZhvaL0QdVe4KHeIrhd2,theme
Autobiographies,"An autobiography is a story that recounts a person's life, written by the person themselves. These manga are autobiographies that are either factual or fantastical in nature; even if the story is loosely based on the person's life, it is marked as an autobiography.",5M2cNmquNf_qnf8vVrt68,theme
Aviation,"Aviation concerns the mechanics of aircraft design and operation. These manga feature pilots, mechanics, or engineers of planes or helicopters, or even stranger creations like airships; those featuring spacecraft or mecha do not qualify unless they also have a strong focus on air travel.",mASLFLxxxvhMKbivpnQi9,theme
Badminton,"Badminton is the focus of these manga. Training and competing in tournaments or championships are common themes in sports titles, as well as individual or team spirit, or being an underdog who goes against the odds to succeed.",oeG9-aXYkfRRSdzAObX0y,theme
Baihe,"Baihe (\\u767e\\u5408) is a Chinese genre of GL that features homosexual relationships between women. Baihe titles are typically slowburn romances that rely on subtle cues and coded language to express the characters' relationships, but Baihe novels sometimes include intimate scenes.",NQogsrq6iMxawlaiVZR_N,theme
Baking,"The characters in these food-themed manga love to bake tasty treats! They might be professional bakers or pastry chefs, students in a Culinary School studying to become a patissier, or enthusiastic people who love to bake as a hobby. These manga may offer step-by-step Recipes so viewers can bake the same delicious bread or pastries at home.",6X91qRykrYp_Qjt6LIhft,theme
Ballet Dancing,"These manga feature ballet dancers, and the art of ballet.",bnQp1ql8YlOAuCaQcMqUl,theme
Bar,These manga predominantly take place in a bar.,3dCEDtYhkCvIiO1NAjcj3,theme
Bara,"Bara is similar to Yaoi (also known as Boys' Love or BL in Japan), and depicts homosexual relationships between men. However, unlike Yaoi which is written by women, for women, Bara is written by men, for men. Characters in these manga have a distinct style and are usually burly, muscular or hairy, and typical uke and seme dynamics don't apply. On Anime-Planet, we double tag Bara with Yaoi for discoverability.",bgYaZHuRlsOMGhzHfvsOn,theme
Baseball,"Baseball is the focus of these manga. Training and competing in tournaments or championships are common themes in sports titles, as well as team spirit, or being an underdog who goes against the odds to succeed.",27JMFKCOhOc5clBp_oWs5,theme
Based on a Card Game,These manga are based on a Card Game.,8jrAkrc8L7bigDE9msGnR,theme
Based on a Cartoon,These manga are based on a Western cartoon.,4rQ4EP671LUffaLUR5HYN,theme
Based on a Comic Book,These manga are based on a Western comic book.,ggScUbgfkHG7VseA1OTQG,theme
Based on a Doujinshi,These manga are based on a Doujinshi: a self-published work such as a manga or novel.,iWpgHz8jsfi5_TASERjx4,theme
Based on a Fairy Tale,"These manga are based on Fairy Tales: short, fantastical stories and folktales such as Momotaro (Japan) or The Little Mermaid (Denmark). Fairy Tales originate from many countries and from many points throughout history.  ",V2RI0DjtbGh-5GXtrJ7dq,theme
Based on a Light Novel,These manga are based on a Light Novel.,d6mJT-FpqIM4Fs-OMilBZ,theme
Based on a Manga,These manga are based on a manga.,UkcJDLScfy2jFiqWNQpCS,theme
Based on a Mobile Game,These manga are based on Mobile Games: games that you can play on your phone or other small portable devices.,1G0bTpE2d8HlwF_UJQ4WF,theme
Based on a Movie,These manga are based on a live-action movie.,tQdcOK7PnRUjKeUB9UnK_,theme
Based on an Anime,These manga are based on an anime.,zxu9cs-WJjrT9NdonRlWQ,theme
Based on an Eroge,These manga are based on an Eroge: a Japanese visual novel that contains erotic content. Eroges are also known as hentai games or H-games.,xmGEIW0Qrbtg3bDKS0gVv,theme
Based on an Otome Game,"These manga are based on an Otome Game: a story-based game targeted at a female audience. Otome Games are usually visual novels or dating sims, but also can be video games.",aEM-Svcjfe76d1V53a3Sg,theme
Based on a Novel,These manga are based on a novel or a children's book.,xWkSX5X5ln8v-UR00YSvq,theme
Based on a Picture Book,These manga are based on a picture book: a book for children that contains many illustrations.,ZtlP5yF29sCtslr5wYF1N,theme
Based on a Play,These manga are based on a play.,5sFLax06dcbEg_PM45XpJ,theme
Based on a Religious Text,"These manga are based on stories or parables in a religious text such as the Bible, the Quran, or a Buddhist scripture.",-lXZB3_m90lmqSpXh1HEr,theme
Based on a Song,"These manga have a story based on song lyrics or a music video - whether they are inspired by classic songs, or by more modern works, such as Vocaloid songs.",QejzoVFcMNQIPYjjrePRH,theme
Based on a TV Series,These manga are based on a live-action TV series.,qU4dwGWf9WJTDf1osiXvQ,theme
Based on a Video Game,"These manga are based on video games that can be played on consoles, on the computer, or in specialized machines such as arcade games or Pachinko machines. For phone and other games, see Based on a Mobile Game.",peNp3Y0HV1rXHacMQ4CKQ,theme
Based on a Visual Novel,"These titles are based on a Visual Novel: an interactive game with anime-style artwork and an abundance of static graphics. These computer-based games have minimal gameplay, and usually have multiple storylines and endings. Visual Novels are sometimes Eroges.",98dboaGJNk2ALOSasNOC8,theme
Based on a Web Novel,These titles are based on a Web Novel. Web Novels are novels published online by websites such as Shousetsuka ni Narou.,5OR0gjROCk1B5SBF6Iwyg,theme
Basketball,"Basketball is the focus of these manga. Training and competing in tournaments or championships are common themes in sports titles, as well as team spirit, or being an underdog who goes against the odds to succeed.",Z0RmnbuHQJHb3YXADgIJ4,theme
Bathhouse,These manga focus on or primarily take place in a bathhouse. Public bathhouses are known as sento (\\u92ad\\u6e6f) in Japan. Bathing facilities are usually divided by gender and have separate showers to wash before soaking in the communal bath.,DL2ph4Ah1Cu3EzHw5Xwnk,theme
Battle Royale,These manga are like Hunger Games: a group of players are pitted against each other (PVP) until only one remains. Battle Royale-style manga typically feature a High Stakes Game that's Play or Die: a battle to the death.,f_bA072oH9SjPrFWnEDMD,theme
Bears,"Bears are the focus of these manga, whether they're grizzlies, polar bears, or panda bears.",R_EqGOWCVgbzQvs8DQmv6,theme
Beer,"These Alcohol-related manga are about beer - drinking beer, brewing beer, or simply learning about craft beer.",C_FNEj9taGTXGmKtY63FG,theme
Bees,These manga feature bees: striped yellow and black Insects known for making honey. Just watch out for that stinger!,l_jlj7VjEKYh8eHs5ISOQ,theme
Beetles,"These manga feature beetles: insects with a hard exoskeleton found in every part of the world except the ocean and the arctic. From the desert to the forest to your backyard, beetles are everywhere!",jcjpSY3Kx0RhYsIhJQ27V,theme
Belgium,These manga predominantly or fully take place in Belgium.,SmUI5NL1XMA1vPjQpQccY,theme
Betrayal,"Characters in these manga suffer through a serious betrayal from someone they trust or care about. It may involve Infidelity, being Framed for a Crime, or even the murder of themselves or someone they love.",AOXR0so3QRvoxaNXR0MEC,theme
Billiards,"Billiards, or Pool, is the focus of these manga. Training and competing in Tournaments or championships are common themes in Sports titles, as well as being an underdog who goes against the odds to succeed.",dBqxS-wXQEdwTgv15QXkJ,theme
Biographies,"A biography is a story that recounts a person's life, written by another person. These manga are biographies that are either factual or fantastical in nature; even if the story is loosely based on the person's life, it is marked as a biography.",Gkn1UkS_aPuyGokQ3sv2K,theme
Birds,"Birds are the focus of these manga, whether they're ducks, finches, or birds of prey.",WfMydLm-iL19drGsLZN9r,theme
Bird Watching,These manga feature characters that enjoy bird watching.,6i_f9q4he09yBOPreNlwT,theme
BL,"BL (short for Boys' Love) is a genre that depicts homosexual relationships between men. BL is the predominant term in Japan. In the West, the term Shounen-ai categorizes romantic stories that focus on emotional aspects of relationships, while Yaoi categorizes more of the sexual aspects such as Smut or explicit content.",_o6jAaqBC20L2y8Y8ubDS,theme
Blackmail,"Blackmail is forcible coercion, convincing someone to do something they'd rather not by threatening to reveal something privileged or secret, or some other form of harm. These manga typically focus on a single instance of blackmail that is central to a story, delving into how and why the situation comes about or its eventual effects on both the blackmailer and the victim.",w_69G8qNv2dZD8AlQLeQz,theme
Board Games,"Board game manga feature traditional-style board tabletop games such as chess, checkers, or mahjong. Characters may simply enjoy games among friends, be shown preparing for or competing in professional matches, or engaging in the shadowy world of underground gaming.",_s9a0WC0MnsWgJsokdZtl,theme
Boarding House,"Characters in these manga live in a boarding house: a large building or complex that houses multiple individuals or renters, usually with shared areas for the community. Off-campus, shared dormitory buildings qualify for the tag as well, as long as the housing situation is similar to a traditional boarding house.",wlwZW1Kc3SyKuxJ3k3g-F,theme
Boarding School,These manga take place at a boarding school: an institution that acts as both a dormitory and a school for students who live on-premises.,FIB39UPbzCooIomhPkx5O,theme
Bodyguards,These manga feature bodyguards: personnel hired or appointed to protect a specific person or group of people.,2xNfV8EQYFGr0f7ijbQSG,theme
Body Sharing,"These manga showcase characters that have two or more personalities inhabiting the same body through some form of fantastical means, such as possession. Unlike a character with a Split Personality, these consciousnesses are two entirely different 'people' sharing the same body.",bEdRp-HlZ9AlHftpJyv_a,theme
Body Swapping,"In these manga, two characters' consciousnesses transfer into each other's physical bodies, whether by scientific or supernatural means.",149UVE0S6sMUufb4cgsP-,theme
Bookstore,"These manga take place in, or focus on, bookstores. Booksellers and shop customers are common protagonists.",jw1n3Sy-LQi3LpT4dlqnS,theme
Boss-Employee Relationship,"These manga focus on a romantic or sexual relationship between a boss and their subordinate. The bosses might be CEOs, company presidents, or simply the manager in charge. Employees might be secretaries, assistants, or simply a direct report.",UBY6nsdDQrzWRvR2Rk9BW,theme
Bounty Hunters,"These manga follow bounty hunters as they travel the land or the galaxy, tracking criminals or targets, capturing or killing them, and collecting the bounties on their heads.",5_Qe0hZ2KBlaSDwfIo9Sf,theme
Bowling,"Bowling is the focus of these manga. Training and competing in Tournaments or championships are common themes in Sports titles, as well as team spirit, or being an underdog who goes against the odds to succeed.",QBjN6IETe-rpmFjMI-T3w,theme
Boxing,"Boxing is a Hand-to-Hand Combat sport featuring two unarmed opponents fighting with their fists, and has its origins in prizefighting competitions. These manga typically focus on characters training and then traversing amateur or professional circuits, earning fame and fortune with their skills.",4QysTHqpzD4CMc2CcM5nq,theme
Brazil,These manga predominantly or fully take place in Brazil.,5BUBqhNBM1IAOhubxxb84,theme
Breaking the Fourth Wall,"These manga feature characters that are aware that they are part of a story, and at times, pause to speak to the audience.",2rWf9w5oxHCsoN9r7mjqs,theme
Brother Complex,"These manga feature Siblings with a Brother Complex: they want nothing more than to ensure the well-being and happiness of their beloved brother, often to an unhealthy or even romantic degree. They're known to be over-protective and jealous of their brother's suitors.",-xzmKoJEeONRN3wbE0gid,theme
Buddhism,"These manga have themes related to the Religion of Buddhism, and may focus on the life of the historical Buddha or other historical Buddhist religious figures; or showcase different aspects of Buddhist life, such as learning the Dharma, or becoming a Buddhist monk or nun.",wOeUrqfADjdcJuDdx0aGO,theme
Butlers,"Butlers live to serve. They make tea, set tables, greet guests and make sure the house is in order - not to mention, they execute their masters' requests. These manga showcase butlers, and often the Master-Servant Relationships that occur.",DtRHL3JrO-bwLw4kNzGtd,theme
Butterflies,"These manga feature butterflies: flying winged Insects that eat flower nectar. Like their Moth cousins, butterflies begin their lives as Caterpillars.",4l0g-wJpOF-F4iK206Hgn,theme
Cafe,These manga predominantly take place in a cafe.,gJtOu1MPVk1wHaI8M1vD5,theme
Cakeverse,"Cakeverse (\\u30b1\\u30fc\\u30ad\\u30d0\\u30fc\\u30b9) is a genre inspired by Omegaverse where instead of alphas and omegas, the universe is made up of Cakes and Forks. Cakes have flesh and bodily fluids that taste sweet to Forks, while Forks can't taste anything else and are often consumed with the desire to taste or even consume Cakes.",i3wJyLeo9_gCMQr34QcOs,theme
Camping,"These manga feature characters who camp in The Great Outdoors. They might be part of a School Club or social group related to camping, or simply enjoy the activity solo.",IEaIUj0JetOlJ_u7JnfQP,theme
Canada,These manga predominantly or fully take place in Canada.,obiIgtlSkqyk__Q7ZACmq,theme
Cancelled,"These manga have been cancelled - they are no longer being produced by the author and/or artist. Cancellations usually occur based on low ratings, legal issues or the death of one of the staff.",ycHuvmn1IdHdsK4U6sG_x,theme
Capybaras,"These manga feature capybaras: large, water-loving rodents known for being highly social and having chill, relaxed personalities.",dbHFd1jRv0jeqQwYOjqEf,theme
Card Battles,"In these manga, characters summon creatures or constructs from cards to battle the forces of their opponent. Common themes include card collecting, training, and participating in matches and tournaments.",4wu_UqjjKom7a_VbQjpnn,theme
Cars,"They're fast, they're sexy and they're the perfect way to get from A to B in style. They're cars! These manga showcase automobiles and the characters who interact with them, from street races to cars used in combat, to AI-controlled vehicles that have gone awry.",cEUnLQO46-kmJARmUEuPC,theme
Caterpillars,These manga feature caterpillars: Insects that begin life in a worm-like larval stage before morphing into a Moth or Butterfly.,rQtCTSYaa7DzzKgyvMqGy,theme
Catholic School,"These manga take place in Catholic schools: educational institutions run by the Catholic church. Some may be All Boys Schools or All Girls Schools, particularly if they are Boarding Schools. Classes are usually taught by Nuns or Priests and have a religious curriculum based on Catholic doctrine.",CsLWSy0lmc44s5yrmluPl,theme
Cats,"Cats are the focus of these manga, whether they're domesticated, lions, or any other type of feline! Common themes in these manga include pet care, or the daily life of a cat from the cat's perspective.",PoxmyDveasagejPUgLfNJ,theme
Centaurs,These manga feature characters that are centaurs: beings from Greek mythology with the upper body of a human and the lower body of a horse.,keAsWiwRIADNEqUPSYQgR,theme
CEOs,"These manga feature chief executive officers (CEOs). In businesses and corporations, CEOs are the Big Boss, the highest-ranking person who is ultimately responsible for making managerial decisions.",vGmLI1ZRjytIdypP6a_lz,theme
Cheats,"Characters in these manga have gained a way to cheat the system through fantastical means, whether the cheat breaks the rules of a game world, the real world, or an isekai fantasy world. Examples include: a game-based levelling system that appears to only them in the real world; finding or being given a game-breaking item; or acquiring an ability to level up faster than usual, or to instantly access new skills. Special, overpowered abilities aren't considered cheats if they are game-sanctioned - for those manga, see Overpowered Main Characters.",dZXNeRHk9lCN5WAT5-JpV,theme
Cheerleaders,"These manga focus on cheerleading. They may show recruiting, practicing, performing at events, or just follow the day-to-day lives of cheerleaders.",jqKBTi8azNFRLUhzLo9vE,theme
Chess,"These manga focus on chess: a two-player, strategy Board Game where each player controls sixteen pieces on a checkered board.  and tries to capture their opponent's pieces. Players move the game pieces to capture the other's until the opponent's king is unable to escape. Checkmate!",oXwK32zhUTDAaiTQJHlQD,theme
Chibi,"Chibi is Japanese slang for someone small and cute. In Western anime fandom, the term is used to describe characters who are \\""super deformed\\"", usually with giant heads and tiny bodies for comedic effect. In these manga, several or all of the characters frequently appear in a Chibi state.",7HS7EHvtDKBPbEbWHNaXq,theme
Chickens,These manga feature chickens: domestic Birds often kept by humans for their eggs and meat.,IlsCc5y5rCUgOpwut_d4J,theme
Childcare,"The main characters in these manga provide care for children, either through the industry or individually. They might be a single parent, or suddenly become an adopted parent or guardian for a child, or work as a nanny or caregiver.",Um5RJTh-cMUGUMCKxE3S9,theme
Child Custody,"The focus of these manga is the contested custody of a child. One parent may have just learned about the child and demands custody, or the couple might be going through a divorce and custody is a main concern.",ab6kUfcDv8y5dTju9qtv1,theme
Childhood Friends,"These manga primarily focus on one or more childhood friends. The friends might have reunited after a long period of time apart, or they might be characters who start a relationship in a Romance manga. A Childhood Promise might also be involved.",OUnzo2U3ls0aRKTBgOSKP,theme
Childhood Promise,"When they were young, characters in this manga made a promise to each other; in the present, they might be working to fulfill that promise, or they might have forgotten it due to amnesia. Common childhood promises include promising to marry, to return home, or to make it big in a specific career or field.",74f2uF6FVP2fIF3olZDQQ,theme
Child Protagonists,"These manga feature a protagonist that is under the age of 12. Stories with child protagonists can focus on the challenges of growing up, the innocence of childhood, or or on a child's day-to-day life and misadventures. Does not include cases where adults or teenagers have either undergone an Age Transformation or have become a child due to Reincarnation or transmigration and still possess memories of their past life.",NnjqUsxMhis-dhDaihvbi,theme
Chinese Novels,"These Novels are typicslly written in Chinese or first originated in China. For Chinese manga, see Manhua.",IgHO0mFdkCXNRzFmA6YV9,theme
Christianity,"These manga have themes related to the Religion of Christianity. They may focus on the life of Jesus or other historical Christian religious figures, showcase stories from the Bible, or show other aspects of Christian life, such as becoming a priest or nun.",9W7OiYxG_6COf0WfEMqFD,theme
Christmas,"These manga take place during the Christmas season or focus on the holiday. Common themes include finding and exchanging gifts, Santa Claus, Christmas Eve festivities, or other topics related to the season.",9QDPJFxSDHqw2nu2sOot4,theme
Cicadas,These manga feature cicadas: large Insects that spend most of their life underground. They are best known for the loud chirping sound males make to attract a mate.,JhSUDt8_dGUPJTrTymopX,theme
Circus,"These manga center on a circus: a company of performers such as clowns, fire eaters, trapeze artists, members of a freak show, or tightrope walkers. The group might travel from town to town, or might have a stationary location to entertain their audience.",SRPLXCXOriklvGOeXoc_p,theme
Classical Music,"Classical music encompasses a broad array of styles and instruments. These manga focus on the appreciation of the art form or on classical musicians themselves, whether they're amateurs or professionals.",rTo4WqWWTolpWaFVZP7HT,theme
